station_id,n_per_id,station_name,station_latitude,station_longitude,city,departure_count,arrival_count,net_change,prop_inflow,is_transit,elevation,elev_units,station_longitude.1,station_latitude.1
43,1,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292,SanFrancisco,13304,11907,-1397,-0.10500601322910402,FALSE,17.86,meters,-122.4159292,37.7787677
44,1,Civic Center/UN Plaza BART Station (Market St at McAllister St),37.7810737,-122.4117382,SanFrancisco,20585,22886,2301,0.11178042263784309,TRUE,13.25,meters,-122.41173819999999,37.7810737
45,1,5th St at Howard St,37.781752,-122.405127,SanFrancisco,8835,9551,716,0.0810413129598189,FALSE,7.22,meters,-122.405127,37.781752
46,1,San Antonio Park,37.79013985185364,-122.24237322807312,EastBay,1018,905,-113,-0.11100196463654224,FALSE,13.24,meters,-122.24237322807312,37.79013985185364
47,1,4th St at Harrison St,37.78095459960753,-122.39974915981291,SanFrancisco,12024,12396,372,0.03093812375249501,FALSE,4.64,meters,-122.39974915981291,37.78095459960753
48,1,2nd St at S Park St,37.782411189735896,-122.39270595839115,SanFrancisco,5796,5614,-182,-0.03140096618357488,FALSE,14.35,meters,-122.39270595839115,37.782411189735896
49,1,S Park St at 3rd St,37.7807601,-122.3949894,SanFrancisco,12572,13309,737,0.058622335348393256,FALSE,6.44,meters,-122.3949894,37.7807601
50,2,2nd St at Townsend St,37.780526,-122.390288,SanFrancisco,15196,15368,172,0.011318768096867597,FALSE,6.26,meters,-122.39028799999998,37.780526
50,2,2nd St at Townsend St - Coming Soon,37.780526,-122.390288,SanFrancisco,6605,7277,672,0.10174110522331567,FALSE,6.26,meters,-122.39028799999998,37.780526
52,1,McAllister St at Baker St,37.7774157,-122.4418376,SanFrancisco,7032,2748,-4284,-0.6092150170648464,FALSE,70.6,meters,-122.44183759999999,37.777415700000006
53,1,Grove St at Divisadero,37.775946,-122.4377775,SanFrancisco,7687,4889,-2798,-0.36399115389618836,FALSE,60.74,meters,-122.4377775,37.775946
55,1,Webster St at Grove St,37.7770527,-122.4295585,SanFrancisco,6120,5811,-309,-0.050490196078431374,FALSE,33.64,meters,-122.42955849999998,37.7770527
56,1,Koshland Park,37.77341396997343,-122.42731690406801,SanFrancisco,5580,2671,-2909,-0.521326164874552,FALSE,50.8,meters,-122.42731690406801,37.77341396997343
58,1,Market St at 10th St,37.776619,-122.417385,SanFrancisco,41486,40124,-1362,-0.03283035240804127,FALSE,17.01,meters,-122.41738500000001,37.776619
59,1,S Van Ness Ave at Market St,37.774814,-122.418954,SanFrancisco,13926,13626,-300,-0.021542438604049977,FALSE,16.22,meters,-122.418954,37.774814
60,1,8th St at Ringold St,37.77452040113685,-122.4094493687153,SanFrancisco,12696,11858,-838,-0.06600504095778198,FALSE,7.8,meters,-122.4094493687153,37.77452040113685
61,1,Howard St at 8th St,37.7765126,-122.4113061,SanFrancisco,13184,13410,226,0.017141990291262135,FALSE,9.24,meters,-122.41130610000002,37.7765126
62,1,Victoria Manalo Draves Park,37.77779057034257,-122.40643188357353,SanFrancisco,9904,9949,45,0.0045436187399030695,FALSE,4.61,meters,-122.40643188357353,37.77779057034257
63,1,Bryant St at 6th St,37.775910222333366,-122.40257500673577,SanFrancisco,3807,3956,149,0.0391384292093512,FALSE,3.55,meters,-122.40257500673577,37.775910222333366
64,1,5th St at Brannan St,37.7767539,-122.3990176,SanFrancisco,9373,10103,730,0.07788328176677692,FALSE,3.35,meters,-122.3990176,37.7767539
66,1,3rd St at Townsend St,37.77874161153677,-122.39274082710836,SanFrancisco,25497,24871,-626,-0.0245519080676158,FALSE,6.88,meters,-122.39274082710836,37.77874161153677
67,1,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,SanFrancisco,43725,56116,12391,0.2833847913093196,TRUE,3.64,meters,-122.3955263,37.7766392
